Country Name,Country Code,GDP,AgricultureForestryFisheryValue,HealthExpenditurePerCapita ,GDPPerEmployedPerson
Afghanistan,AFG,20191764940,4709047834,67.12265015,9048.191174
Angola,AGO,1.22E+11,8500990461,114.4596405,19129.35777
Arab World,ARB,2.59E+12,1.41E+11,345.7894035,50250.9382
United Arab Emirates,ARE,3.78E+11,2589157786,1357.017456,95874.08333
Argentina,ARG,6.43E+11,31171092957,1324.603516,56517.7714
Australia,AUS,1.33E+12,27152776293,5331.817871,98114.1677
Austria,AUT,4.17E+11,5741367750,4939.875488,111379.6089
Azerbaijan,AZE,40865558912,3851766523,275.8093567,29098.44527
Burundi,BDI,3172292379,782590786.4,23.50043297,1824.144907
Belgium,BEL,5.03E+11,3611079117,4507.356445,123394.5625
Benin,BEN,12701656931,3532283660,30.76644707,7690.06707
Burkina Faso,BFA,12330338343,3312916480,44.40349197,5230.433644
Bangladesh,BGD,2.50E+11,24666429240,36.28233719,10299.85245
Bulgaria,BGR,58220973783,2268517517,663.7150879,47577.67488
Bahrain,BHR,35432686170,92127659.57,1127.186279,82472.80367
"Bahamas, The",BHS,12150400000,80923407.78,1771.535522,67977.74588
Bosnia and Herzegovina,BIH,18080118128,1090214834,460.4733276,43927.26771
Belarus,BLR,54726595249,6020196625,342.4999084,36104.91383
Belize,BLZ,1836593466,133482485.8,280.4988098,16988.35062
Bolivia,BOL,37508642258,2778032376,220.2745667,18490.78732
Brazil,BRA,2.06E+12,1.16E+11,928.7993164,33200.89137
Brunei Darussalam,BRN,12128104859,110594866.2,671.411499,134309.027
Bhutan,BTN,2450364929,280811472.7,96.79930115,23338.1284
Botswana,BWA,17405538618,303416459,465.9293213,45065.90586
Central African Republic,CAF,2067230996,504218438.2,24.15005493,2370.220262
Canada,CAN,1.65E+12,26892766554,4754.947754,93944.98797
Central Europe and the Baltics,CEB,1.46E+12,43147514370,934.0073094,65168.26963
Switzerland,CHE,6.80E+11,3896805130,9956.259766,121150.3271
Chile,CHL,2.78E+11,9323990492,1381.986206,51143.47905
China,CHN,1.21E+13,7.44E+11,440.8256226,26157.21134
Cote d'Ivoire,CIV,38053606751,9476042989,69.74924469,11187.2533
Cameroon,CMR,34922782311,5074575492,67.81181335,8446.621587
"Congo, Dem. Rep.",COD,38019265626,5936764242,19.43164635,3230.245696
"Congo, Rep.",COG,8701334800,691947208.6,49.98372269,9115.1743
Colombia,COL,3.12E+11,23677028588,459.1975708,29699.17573
Comoros,COM,1074778461,303943193,58.76092911,12231.02761
Cabo Verde,CPV,1769787215,136996469.5,167.5896149,17779.90394
Costa Rica,CRI,58174549218,2796300430,869.0777588,43842.17588
Caribbean small states,CSS,69602182809,2429684429,582.671927,36405.87007
Cyprus,CYP,22638608224,513505236.6,1731.694458,59956.28628
Czech Republic,CZE,2.16E+11,3731598447,1475.915161,77480.45194
Germany,DEU,3.66E+12,24922676447,5033.452148,105159.8684
Denmark,DNK,3.29E+11,3690990775,5800.151367,112770.9559
Dominican Republic,DOM,79998045976,4336495135,433.2085876,38613.86253
Algeria,DZA,1.67E+11,19737325509,258.4942932,45075.12198
East Asia & Pacific (excluding high income),EAP,1.47E+13,1.05E+12,344.2784836,24535.09643
Early-demographic dividend,EAR,1.14E+13,1.08E+12,169.7399596,24593.33711
East Asia & Pacific,EAS,2.39E+13,1.17E+12,671.0799562,30897.85436
Europe & Central Asia (excluding high income),ECA,3.32E+12,2.35E+11,417.1155496,49252.92478
Europe & Central Asia,ECS,2.16E+13,5.05E+11,2192.444556,77056.501
Ecuador,ECU,1.04E+11,9258652622,518.0296021,24415.38622
"Egypt, Arab Rep.",EGY,2.35E+11,35934501062,105.7684555,40619.47813
Euro area,EMU,1.26E+13,2.03E+11,3761.33668,104327.9105
Spain,ESP,1.31E+12,39230398864,2506.464844,96655.45887
Estonia,EST,26792757827,584261521.5,1300.481689,67187.52311
Ethiopia,ETH,81760441159,18950149168,25.26195335,4411.774125
European Union,EUU,1.47E+13,2.53E+11,3261.426925,96348.93311
Finland,FIN,2.54E+11,6836679116,4205.742676,105637.6777
Fiji,FJI,5353404419,345169179.4,188.4143219,34413.12699
France,FRA,2.59E+12,43497147092,4379.727051,109304.522
Gabon,GAB,14892609693,935389938.5,204.4922485,56793.19729
United Kingdom,GBR,2.67E+12,18332354587,3858.674316,93334.09103
Georgia,GEO,16242956764,1078178786,293.0535889,28701.18136
Ghana,GHA,58996776238,11085489774,66.74941254,12347.33423
Guinea,GIN,10324668267,1962129948,33.72011185,7344.916106
"Gambia, The",GMB,1504954958,353724404.7,23.27232552,6925.45421
Guinea-Bissau,GNB,1346841897,439407768.4,52.35940933,4773.991475
Equatorial Guinea,GNQ,12200914930,276769295.3,301.1500549,62224.07981
Greece,GRC,2.03E+11,9722421707,1516.587769,82798.5361
Guatemala,GTM,75620081928,5958110718,259.9350281,21200.17684
Guyana,GUY,3555205811,395532154.6,230.5272827,25448.61058
High income,HIC,5.10E+13,6.46E+11,5368.581718,101827.6118
Honduras,HND,23136232230,2730743773,195.9357452,12990.0253
Heavily indebted poor countries (HIPC),HPC,7.59E+11,1.52E+11,53.23109679,6309.611436
Croatia,HRV,55319620158,1689358376,902.1396484,68096.47983
Haiti,HTI,8409497402,1711252525,62.35327911,4609.256025
