Rank (highest to lowest ozone levels),Location,Year,Average (ppb),Median (ppb),Lower (ppb),Upper (ppb),,,,
1,Kuwait,2017,71.5,71.6,68.5,74.5,,,157,156
2,Bahrain,2017,69.8,69.8,60.8,78.4,,,156,155
3,Iraq,2017,69.6,69.6,69.3,70,,,155,154
4,Qatar,2017,68.9,68.9,65.2,73,,,154,153
5,China,2017,68.2,68.2,68.2,68.3,,,153,152
6,Jordan,2017,67.7,67.7,67.4,67.9,,,152,151
7,Taiwan,2017,67.6,67.6,67.4,67.8,,,151,150
8,North Korea,2017,66.7,66.7,66.6,66.8,,,150,149
9,Nepal,2017,66.6,66.6,66.2,67.1,,,149,148
9,Japan,2017,66.6,66.6,66.5,66.6,,,149,148
10,Palestine,2017,66.2,66.2,66.1,66.3,,,148,147
11,Israel,2017,65.9,65.9,65.8,66,,,147,146
12,Syria,2017,65.7,65.7,65.5,65.9,,,146,145
13,Lebanon,2017,65.3,65.3,64.7,65.9,,,145,144
14,United Arab Emirates,2017,63.8,63.8,62.7,64.9,,,144,143
15,Egypt,2017,63.6,63.6,63.3,64,,,143,142
16,Pakistan,2017,63.3,63.3,62.9,63.7,,,142,141
17,Tunisia,2017,63.1,63.1,62.9,63.3,,,141,140
18,Saudi Arabia,2017,62.6,62.6,62.3,63,,,140,139
19,South Korea,2017,62.5,62.5,62.5,62.6,,,139,138
19,Iran,2017,62.5,62.5,62.3,62.7,,,139,138
20,Bhutan,2017,62.3,62.3,61.8,62.8,,,138,137
21,Angola,2017,62.1,62.1,60.5,63.6,,,137,136
22,Mexico,2017,62,62,61.8,62.1,,,136,135
23,Northern Mariana Islands,2017,61.8,61.8,60.5,63.1,,,135,134
24,Afghanistan,2017,61.7,61.7,61,62.3,,,134,133
25,Algeria,2017,61.3,61.3,61.1,61.4,,,133,132
26,Tajikistan,2017,61,61,60.1,61.8,,,132,131
27,India,2017,60.7,60.7,60.5,60.8,,,131,130
28,Libya,2017,60.3,60.3,60.1,60.6,,,130,129
28,Italy,2017,60.3,60.3,60.2,60.3,,,130,129
29,Cyprus,2017,60.1,60.1,59.8,60.5,,,129,128
30,Bermuda,2017,59.9,59.9,59.3,60.6,,,128,127
31,Slovenia,2017,59.8,59.8,59.7,59.9,,,127,126
32,Switzerland,2017,59.7,59.7,59.6,59.7,,,126,125
33,Democratic Republic of the Congo,2017,59.4,59.4,58.8,60,,,125,124
34,Greece,2017,59.3,59.3,59,59.7,,,124,123
35,Andorra,2017,59.2,59.2,58.7,59.8,,,123,122
36,Slovakia,2017,59.1,59.1,59.1,59.2,,,122,121
36,United States,2017,59.1,59.1,59,59.1,,,122,121
37,Zambia,2017,58.8,58.8,58.1,59.4,,,121,120
38,Turkey,2017,58.7,58.7,58.6,58.9,,,120,119
38,Austria,2017,58.7,58.7,58.7,58.8,,,120,119
38,Hungary,2017,58.7,58.7,58.6,58.7,,,120,119
39,Croatia,2017,58.5,58.6,58.5,58.6,,,119,118
40,Kyrgyzstan,2017,58.4,58.3,57.4,59.4,,,118,117
40,Uzbekistan,2017,58.4,58.4,57.9,58.8,,,118,117
41,Albania,2017,58.2,58.2,58,58.5,,,117,116
41,Bangladesh,2017,58.2,58.2,57.9,58.5,,,117,116
42,Mongolia,2017,58.1,58.1,57.5,58.8,,,116,115
43,Czech Republic,2017,57.3,57.3,57.3,57.3,,,115,114
44,Armenia,2017,56.8,56.8,55.9,57.7,,,114,113
45,Namibia,2017,56.3,56.3,55.4,57.2,,,113,112
46,Macedonia,2017,56.2,56.2,56,56.3,,,112,111
47,Spain,2017,56.1,56.1,56,56.2,,,111,110
48,Morocco,2017,56,56,55.8,56.3,,,110,109
49,Montenegro,2017,55.9,55.9,55.7,56.1,,,109,108
50,Bosnia and Herzegovina,2017,55.8,55.8,55.7,55.9,,,108,107
51,Malta,2017,55.7,55.6,55,56.3,,,107,106
52,Turkmenistan,2017,55.4,55.5,54.9,56,,,106,105
53,Poland,2017,55.2,55.2,55.2,55.3,,,105,104
53,Germany,2017,55.2,55.2,55.2,55.2,,,105,104
54,France,2017,55,55,55,55.1,,,104,103
55,Oman,2017,54.9,54.9,53.9,55.9,,,103,102
56,Luxembourg,2017,54.6,54.6,54.5,54.7,,,102,101
56,Georgia,2017,54.6,54.6,54,55.1,,,102,101
57,Portugal,2017,54.4,54.5,54.3,54.6,,,101,100
57,Azerbaijan,2017,54.4,54.4,53.9,54.9,,,101,100
58,Central African Republic,2017,54.2,54.3,52.4,55.9,,,,
58,Serbia,2017,54.2,54.2,54.1,54.3,,,,
59,Botswana,2017,53.7,53.7,53.5,53.9,,,,
60,Bulgaria,2017,53.6,53.6,53.6,53.7,,,,
61,Kazakhstan,2017,53.4,53.4,53,53.8,,,,
62,Chad,2017,53.2,53.2,52.8,53.7,,,,
63,Nigeria,2017,53.1,53.1,52.7,53.5,,,,
64,Zimbabwe,2017,52.8,52.8,52.4,53.2,,,,
65,Ukraine,2017,52.7,52.7,52.6,52.8,,,,
66,Niger,2017,52.4,52.4,52,52.8,,,,
67,Yemen,2017,52.1,52.1,51.2,53,,,,
68,Swaziland,2017,52,52,51.8,52.3,,,,
69,Eritrea,2017,51.8,51.8,51,52.6,,,,
70,Sudan,2017,51.7,51.7,51.4,52.1,,,,
71,Myanmar,2017,51.6,51.6,51.3,51.9,,,,
72,Singapore,2017,51.5,51.5,50,53.1,,,,
73,Belgium,2017,51.4,51.4,51.4,51.5,,,,
73,Moldova,2017,51.4,51.4,51.2,51.5,,,,
74,Malawi,2017,51.2,51.2,50.6,51.8,,,,
75,Iceland,2017,50.8,50.8,50.3,51.2,,,,
