Person,Day,Heated,Queue
1,1,1,3
2,1,0.5,3
3,1,1.5,2
4,1,1.5,1
5,1,1.5,2
6,1,2,2
7,1,1,4
8,1,1,3
9,1,1.5,2
10,1,1.5,1
11,1,0.5,1
12,1,1,1
13,1,1,2
14,2,1.5,4
15,2,1,3
16,2,2,4
17,2,1.5,2
18,2,0.5,3
19,2,1,5
20,2,1.5,4
21,2,1.5,3
22,2,1.5,2
23,2,1.5,1
24,2,1.5,1
25,2,2.5,1
26,2,1,2
27,2,1.5,3
28,2,0.5,2
29,2,1,3
30,2,1.5,2
31,2,1,1
32,2,0.5,1
33,4,1,1
34,4,0.5,3
35,4,1.5,3
36,4,1,2
37,4,1,1
38,4,1.5,3
39,4,1,4
40,4,0.5,3
41,4,1.5,5
42,4,1,4
43,4,1,3
44,4,1.5,2
45,4,1,2
46,4,2,1
47,4,0.5,2
48,4,1.5,4
49,4,2,6
50,4,1.5,3
51,5,1.5,3
52,5,1,2
53,5,1.5,3
54,5,2,2
55,5,1,1
56,5,1.5,1
57,5,1,1
58,5,1.5,1
59,5,2.5,1
60,3,0.5,3
61,3,1.5,3
62,3,1,2
63,3,1,1
64,3,1,1
65,3,1.5,1
66,3,1,2
67,3,1.5,4
68,3,2,3
